old_commit	path_pass_commit	complete_commit	on_branch_or_tag	date_subject	cited_in_files	example_file
948d48d66f500c6b1f6a3af971c1647b13f397c3	4b43581295c9772444cc34ed8753bf6e88c7863d	e5978776b3ee20e743ee7f155f7a0415aa5be6a1	yes	2026-09-13 ledger(p4): $8.31 left, 14 PIL is unaffordable everywhere, and the platform check missed the primary	5	experiments/rollout-arc/p4/B0-PREREG.md
03a005a6d4023397df09b738d895fe80642c863b	df5b87ee30454a18e5bab75b9b92046c6997b2fe	53a8aaf1acba6fa4bf5361d3f3e6330089f53702	refs/pull only	2026-08-19 fix(library): replace Satie/Debussy MIDI from Mutopia Public Domain (F-acd97421)	4	docs/findings/library-provenance-audit.md
8734514e3d140be8776b5326332831e7091c395d	7010b76088bd32f3b548de7d2bf0a67cf0e9ffef	49aba4bca4011cd595db7cbb87f6f9fb6ea24c76	yes	2026-09-17 Migrate site/ to astro 7, and let the checks that gate it actually fire (#41)	4	atlas/README.md
c25867ca925ca0ec5c433dc38eb5861e0abd1eea	7fff48bd694c795fb60c5c8a737bd0808c20d4f5	1488701de00f29aa2ace816f7efca826e51835c0	yes	2026-09-13 fix(p4): the prefix mask check is directional, and voided a valid run	4	experiments/rollout-arc/p4/B0-PREREG.md
c9dcd17b5b973f14f09ee211e4dacf01285e119e	3ee24b62147e9851ba1b93cfef7e30e7f92b8bfd	ff3100998f1fe4b8e15991e49ea4630905d73ca6	refs/pull only	2026-07-11 feat(finetune-arc-v2): B-1 preregistration — 36-record confirmatory cohort, frozen victory bar, eval-only lock	4	docs/finetune-arc-v2-b1-eval-report.md
e4631391c0ebe02682188b778b82c0501dd9a314	86b46747f2cf65af316b091ec4d9898fbe317888	7414866a2f1939b60278a809f5875a3ac70d0fc8	refs/pull only	2026-05-17 Verify jam-actions v0 provenance URLs and public verdicts	4	docs/jam-actions-v0-slice10-5-package-hardening-audit.md
f1ec03bddc36aac60018ef859e2cf3834839cd9a	67ab9c8aa820540133e14398b3b017cf80262a89	d3d9e5fc486413ec1d0faa7f2e9200c9b10d5230	yes	2026-09-12 results(p4): exploring starts break the funnel -- and rho was never a property of the task	4	experiments/rollout-arc/HANDOFF.md
1619f71ca361ee283478aca1f9a28199a5064a78	1317d53b1e4f18a3994f6f18f1341a603c5fa10e	1f68d219f814290ab5825b93780b457000c74c2b	yes	2026-09-13 results(p4): --prefix-in-loss -- reading 2 fires, its meaning does not, and the close is not mine	3	experiments/rollout-arc/p4/DELEGATION-claude-runpod.md
1b28a1a94e8e5f7a669ab2f0415dd1ca09907df3	3297935ff25940edd2498a05cf8d72d79db3195e	03cbcce4c09279be7ef6c34dc0698087f95d40c4	yes	2026-09-13 exec(p4): pod_train_b0.sh + babysit-b0.sh -- the program 5f3f0df described and did not contain	3	experiments/rollout-arc/p4/B0-RESULTS.md
1fae03e2b05ea028c171ae9a8e36fff44dbb1689	81bad00e3e54ae6b42b8a0b69b82d01837e004f3	8789015e3f25d0c5f05b440685b1f16a5153e1b9	yes	2026-09-13 prereg(p4): --prefix-in-loss, three seeds, before the run exists	3	experiments/rollout-arc/p4/B0-PREREG.md
26d788f682fa46e1e9946df57318165ed7f8671c	ca8e8f77c8376189b9d3e571608010ab54748ff7	035c8a5cdd822ad421ce2c08ce3ee8b86b18e2d7	yes	2026-09-14 study(p4): base vs instruct -- the mechanism is real, the remedy is doubtful, and one eval settles it	3	experiments/rollout-arc/p4/BASE-PROBE-RESULTS.md
33abf854efe040080644d282b305a16003e0d3b5	1b0c67c899022a3ba975553a94e665dfb02d62e1	36cf317b3696fa80d425a9fa82b7d13565d25f2c	yes	2026-09-11 feat(rollout-arc): P2 parity — train and test are the same distribution	3	experiments/rollout-arc/p2/GRID-RESULTS.md
4950b568280a610d1f4f687fa53902d71eeb7858	81b475ecb330c9b3785aeb57b9b65ea4eb38356c	7ec4c634c2f22732ca08ced750f7cc28d6fbc129	refs/pull only	2026-02-20 Replace song library with MIDI-first architecture (120 songs)	3	docs/findings/library-provenance-audit.md
4b0f181d5df06348b9aa450e506a03f3729c15be	17d1f03aca95b8e413504a8c7c05322a77094b22	60b841b9aca7b00c1d7bcc9261e236b442338f53	refs/pull only	2026-05-18 Bump pilot-records test timeout for CI hardware	3	docs/jam-actions-v0-slice21-schumann-remediation.md
592604c4fdb27b188d1d2574abc0c796846f247d	2afb9d55654148b165129ae1bab3a1f916731383	cc6b8ea97a2b36eef2dc734a2229d07dcb313fee	refs/pull only	2026-07-13 feat(finetune-arc-b2): P1-b2 corpus BUILD + eval-surface diff + stats — gates PASS, numbers frozen, lock committed	3	docs/finetune-arc-b2-eval-report.md
